,Pop,Site2,Site,Depth,Transect,Major.Category,sum.Area
83,Urban,Urban-E,CristoRei,5m,2,pMA,3.618421053
84,Urban,Urban-E,CristoRei,5m,3,pMA,0.340136054
85,Urban,Urban-W,DiliRock,10m,1,pMA,15.82491582
86,Urban,Urban-W,DiliRock,10m,2,pMA,14.8409894
87,Urban,Urban-W,DiliRock,10m,3,pMA,11.6838488
88,Urban,Urban-W,DiliRock,5m,1,pMA,1.5625
89,Urban,Urban-W,DiliRock,5m,2,pMA,1.98019802
90,Urban,Urban-W,DiliRock,5m,3,pMA,0
91,Rural,Rural-E,Manatutu,10m,1,pMA,3.716216216
92,Rural,Rural-E,Manatutu,10m,2,pMA,9.294871795
93,Rural,Rural-E,Manatutu,10m,3,pMA,4.452054795
94,Rural,Rural-E,Manatutu,5m,1,pMA,0.673400673
95,Rural,Rural-E,Manatutu,5m,2,pMA,7.666666667
96,Rural,Rural-E,Manatutu,5m,3,pMA,3.289473684
97,Rural,Rural-N,Beloi,10m,1,pInv,10.07462687
98,Rural,Rural-N,Beloi,10m,2,pInv,6.441717791
99,Rural,Rural-N,Beloi,10m,3,pInv,9.180327869
100,Rural,Rural-N,Beloi,5m,1,pInv,4.181184669
101,Rural,Rural-N,Beloi,5m,2,pInv,3.753753754
102,Rural,Rural-N,Beloi,5m,3,pInv,1.052631579
103,Urban,Urban-E,CristoRei,10m,1,pInv,1.672240803
104,Urban,Urban-E,CristoRei,10m,2,pInv,8.637873754
105,Urban,Urban-E,CristoRei,10m,3,pInv,0.714285714
106,Urban,Urban-E,CristoRei,5m,1,pInv,11.03448276
107,Urban,Urban-E,CristoRei,5m,2,pInv,0.328947368
108,Urban,Urban-E,CristoRei,5m,3,pInv,4.421768707
109,Urban,Urban-W,DiliRock,10m,1,pInv,4.713804714
110,Urban,Urban-W,DiliRock,10m,2,pInv,3.533568905
111,Urban,Urban-W,DiliRock,10m,3,pInv,3.092783505
112,Urban,Urban-W,DiliRock,5m,1,pInv,1.875
113,Urban,Urban-W,DiliRock,5m,2,pInv,6.600660066
114,Urban,Urban-W,DiliRock,5m,3,pInv,14.75409836
115,Rural,Rural-E,Manatutu,10m,1,pInv,1.689189189
116,Rural,Rural-E,Manatutu,10m,2,pInv,5.448717949
117,Rural,Rural-E,Manatutu,10m,3,pInv,11.98630137
118,Rural,Rural-E,Manatutu,5m,1,pInv,1.01010101
119,Rural,Rural-E,Manatutu,5m,2,pInv,12.66666667
120,Rural,Rural-E,Manatutu,5m,3,pInv,20.72368421
121,Rural,Rural-N,Beloi,10m,1,pSoft,9.328358209
122,Rural,Rural-N,Beloi,10m,2,pSoft,17.79141104
123,Rural,Rural-N,Beloi,10m,3,pSoft,14.09836066
124,Rural,Rural-N,Beloi,5m,1,pSoft,14.9825784
125,Rural,Rural-N,Beloi,5m,2,pSoft,28.9039039
126,Rural,Rural-N,Beloi,5m,3,pSoft,12.98245614
127,Urban,Urban-E,CristoRei,10m,1,pSoft,61.53846154
128,Urban,Urban-E,CristoRei,10m,2,pSoft,33.55481728
129,Urban,Urban-E,CristoRei,10m,3,pSoft,70
130,Urban,Urban-E,CristoRei,5m,1,pSoft,10.68965517
131,Urban,Urban-E,CristoRei,5m,2,pSoft,39.14473684
132,Urban,Urban-E,CristoRei,5m,3,pSoft,16.66666667
133,Urban,Urban-W,DiliRock,10m,1,pSoft,4.713804714
134,Urban,Urban-W,DiliRock,10m,2,pSoft,22.2614841
135,Urban,Urban-W,DiliRock,10m,3,pSoft,8.24742268
136,Urban,Urban-W,DiliRock,5m,1,pSoft,10
137,Urban,Urban-W,DiliRock,5m,2,pSoft,23.43234323
138,Urban,Urban-W,DiliRock,5m,3,pSoft,17.70491803
139,Rural,Rural-E,Manatutu,10m,1,pSoft,33.10810811
140,Rural,Rural-E,Manatutu,10m,2,pSoft,29.48717949
141,Rural,Rural-E,Manatutu,10m,3,pSoft,10.95890411
142,Rural,Rural-E,Manatutu,5m,1,pSoft,12.12121212
143,Rural,Rural-E,Manatutu,5m,2,pSoft,15.33333333
144,Rural,Rural-E,Manatutu,5m,3,pSoft,13.48684211
145,Rural,Rural-N,Beloi,10m,1,pSubSa,4.850746269
146,Rural,Rural-N,Beloi,10m,2,pSubSa,5.521472393
147,Rural,Rural-N,Beloi,10m,3,pSubSa,5.573770492
148,Rural,Rural-N,Beloi,5m,1,pSubSa,14.63414634
149,Rural,Rural-N,Beloi,5m,2,pSubSa,9.384384384
150,Rural,Rural-N,Beloi,5m,3,pSubSa,17.54385965
151,Urban,Urban-E,CristoRei,10m,1,pSubSa,19.39799331
152,Urban,Urban-E,CristoRei,10m,2,pSubSa,20.26578073
153,Urban,Urban-E,CristoRei,10m,3,pSubSa,5.357142857
154,Urban,Urban-E,CristoRei,5m,1,pSubSa,27.5862069
155,Urban,Urban-E,CristoRei,5m,2,pSubSa,30.26315789
156,Urban,Urban-E,CristoRei,5m,3,pSubSa,15.6462585
157,Urban,Urban-W,DiliRock,10m,1,pSubSa,14.14141414
158,Urban,Urban-W,DiliRock,10m,2,pSubSa,7.067137809
159,Urban,Urban-W,DiliRock,10m,3,pSubSa,19.58762887
160,Urban,Urban-W,DiliRock,5m,1,pSubSa,25.9375
161,Urban,Urban-W,DiliRock,5m,2,pSubSa,50.82508251
162,Urban,Urban-W,DiliRock,5m,3,pSubSa,19.3442623
163,Rural,Rural-E,Manatutu,10m,1,pSubSa,29.72972973
164,Rural,Rural-E,Manatutu,10m,2,pSubSa,19.87179487
165,Rural,Rural-E,Manatutu,10m,3,pSubSa,42.80821918
166,Rural,Rural-E,Manatutu,5m,1,pSubSa,28.61952862
167,Rural,Rural-E,Manatutu,5m,2,pSubSa,34
168,Rural,Rural-E,Manatutu,5m,3,pSubSa,11.18421053
